country;contract_name;name;company;count
Australia;Brisbane;104 - HARDGRAVE RD / SKINNER ST;CityCycle;2827
Belgium;Bruxelles-Capitale;235 - FOREST NATIONAL / VORST NATIONAAL;villo;2826
Belgium;Bruxelles-Capitale;199 - HENRI REY;villo;2826
Slovenia;Ljubljana;PARK NAVJE-ŽELEZNA CESTA;Bicikelj;2823
Slovenia;Ljubljana;PREŠERNOV TRG-PETKOVŠKOVO NABREŽJE;Bicikelj;2823
Luxembourg;Luxembourg;AN DER BOURMICHT;Veloh;2823
France;Lyon;9004 - GARE DE VAISE;Vélo'V;2823
France;Marseille;8202-397 PRADO;Le vélo;2823
France;Paris;02003 - ALLEE PIERRE LAZAEFF;Velib;2820
France;Paris;16014 - AVENUE D EYLAU;Velib;2820
Spain;Seville;167_GLORIETA BIZCO AMATE;SEVICI;2818
France;Toulouse;00229 - IUT RANGUEIL;Vélô;2818
France;Toulouse;00093 - PRINTEMPS;Vélô;2818
France;Toulouse;00042 - DAURIAC ESCANDE;Vélô;2818
France;Toulouse;00200 - PLACE DE L'ORMEAU;Vélô;2818
Belgium;Bruxelles-Capitale;197 - DE SMET (FERMEE TRAVAUX);villo;2
Australia;Brisbane;22 - WILLIAM ST / ALICE ST;CityCycle;2827
France;Lyon;03036 - FELIX FAURE / VIVIER MERLE;Vélo'V;2823
France;Lyon;3082 - PLACE BAHADOURIAN;Vélo'V;2823
France;Nantes;00084-RÉGION;Bicloo;2823
France;Nantes;00076-PLACE RENÉ BOUHIER;Bicloo;2823
France;Paris;42015 - JEAN FERRAT (IVRY);Velib;2820
France;Paris;35003 - VAILLANT (PANTIN);Velib;2820
France;Paris;13118 - PATAY REGNAULT;Velib;2820
France;Paris;07010 - INVALIDES;Velib;2820
France;Rouen;18 - DOCKS;cy'clic;2819
Spain;Valence;258_PINTOR_RAFAEL_SOLVES_ESQ_JOSE_SOTO_MICO;Valenbisi;2818
Spain;Valence;060_AVDA.BALEARES II;Valenbisi;2818
Belgium;Bruxelles-Capitale;347 - ERASME;villo;2826
Belgium;Bruxelles-Capitale;273 - TAMARIS;villo;2826
Belgium;Bruxelles-Capitale;245 - HAMOIR;villo;2826
France;Cergy-Pontoise;50009 - CER09 - RUE DU BRÛLOIR;Velo2;2618
France;Lyon;10041 - KIMMERLING;Vélo'V;2823
France;Lyon;1032 - PIZAY (FAR);Vélo'V;2823
France;Mulhouse;23 - HASENREIN;VéloCité;2823
France;Paris;43007 - VORGES (VINCENNES);Velib;2820
France;Paris;15041 - LABROUSTE;Velib;2820
France;Paris;10105 - BONNE NOUVELLE PROP2;Velib;2820
France;Paris;16029 - MAISON DE RADIO FRANCE;Velib;2820
France;Paris;09037 - CLICHY PARME;Velib;2820
Spain;Santander;002_PLAZA DE LAS BRISAS;Tusbic;2819
Spain;Seville;202_AVENIDA MUJER TRABAJADORA;SEVICI;2818
Spain;Seville;037_ALAMEDA DE HÉRCULES;SEVICI;2818
France;Toulouse;00075 - CHATEAU D EAU;Vélô;2818
France;Toulouse;00278 - ARENES ROMAINE;Vélô;2818
Spain;Valence;020_FERNANDO_EL_CATOLICO_CALLE_QUART;Valenbisi;2818
Belgium;Bruxelles-Capitale;268 - DUNANT;villo;2826
Belgium;Bruxelles-Capitale;167 - CHARLES V/KAREL V;villo;2826
Belgium;Bruxelles-Capitale;008 - ARTS-LOI / KUNST-WET;villo;2826
France;Lyon;3021 - PLACE DE LA FERRANDIÈRE;Vélo'V;2823
France;Marseille;3320 - BELLE DE MAI CADENAT;Le vélo;2823
France;Paris;03007 - ARCHIVES PASTOURELLE;Velib;2820
France;Paris;21013 - GRENIER (BOULOGNE-BILLANCOURT);Velib;2820
France;Paris;21009 - LECORBUSIER (BOULOGNE-BILLANCOURT);Velib;2820
France;Paris;13122 - PARC DE CHOISY;Velib;2820
France;Paris;19016 - OURCQ;Velib;2820
France;Paris;19033 - CAMBRAI;Velib;2820
France;Paris;20028 - GAMBETTA MARTIN NADAUD;Velib;2820
France;Paris;04021 - BEAUBOURG RAMBUTEAU;Velib;2820
France;Paris;15032 - LOURMEL;Velib;2820
France;Paris;17017 - PONT CARDINET;Velib;2820
France;Paris;18009 - LEPINE;Velib;2820
France;Paris;11028 - BLUETS REPUBLIQUE;Velib;2820
Spain;Seville;052_CALLE DEL INCA GARCILASO;SEVICI;2818
Lithuania;Vilnius;33-LIETUVOS VAIKŲ IR JAUNIMO CENTRAS;Cyclocity;2818
Lithuania;Vilnius;20-TRAKŲ;Cyclocity;2818
France;Marseille;4342 - FLAMMARION MONTRICHET;Le vélo;810
Belgium;Bruxelles-Capitale;077 - PAUL JANSON;villo;2826
France;Cergy-Pontoise;53001 - PON01 - RUE SERE-DEPOIN (CB);Velo2;2825
Sweden;Lund;STADSPARKEN NORR;Lundahoj;2823
France;Lyon;6035 - CITÉ INTERNATIONALE;Vélo'V;2823
France;Lyon;10115 - PLACE D'ESPAGNE / STADE KRUGER;Vélo'V;2823
France;Paris;19019 - PETIT HONNEGER;Velib;2820
France;Paris;42201 - NECKER (CHARENTON);Velib;2820
France;Paris;35006 - DELIZY (PANTIN);Velib;2820
France;Paris;14115 - CITÉ UNIVERSITAIRE;Velib;2820
France;Paris;11002 - ROQUETTE THIERE;Velib;2820
France;Paris;16018 - FLANDRIN;Velib;2820
France;Paris;05019 - POISSY;Velib;2820
France;Paris;02011 - BIBLIOTHEQUE NATIONALE;Velib;2820
France;Paris;15012 - MADEMOISELLE;Velib;2820
France;Paris;04019 - BEAUBOURG SAINT MERRY;Velib;2820
France;Paris;14015 - CITE UNIVERSITAIRE;Velib;2820
France;Paris;17024 - VILLIERS;Velib;2820
France;Paris;12001 - BASTILLE;Velib;2820
France;Paris;16129 - BOIS DE BOULOGNE / PORTE DE LA MUETTE 1;Velib;2820
Spain;Seville;046_PLAZA DEL PELICANO;SEVICI;2818
Spain;Seville;233_AVENIDA ALCALDE LUIS URUÑUELA;SEVICI;2818
Spain;Seville;054_PLAZA SAN JUAN DE LA PALMA;SEVICI;2818
France;Toulouse;00237 - CNRS;Vélô;2818
France;Toulouse;00214 - CASTRES/ ACHIARY;Vélô;2818
France;Besancon;08 - MARULAZ;VéloCité;2827
Australia;Brisbane;46 - ANN ST / BOUNDARY ST;CityCycle;2827
Belgium;Bruxelles-Capitale;023 - AGORA / AGORA;villo;2826
Belgium;Bruxelles-Capitale;257 - PL MARGHERITE D'AUTRICHE / MARGARETHA VAN OO;villo;2826
France;Lyon;1006- SUBSISTANCES;Vélo'V;2823
France;Lyon;6036 - MUSÉE D'ART CONTEMPORAIN (FAR);Vélo'V;2823
France;Marseille;5107-BAILLE CONCEPTION;Le vélo;2823
France;Marseille;8066-MENDES FRANCE HUVEAUNE;Le vélo;2823
France;Nantes;00097-SAINT DONATIEN;Bicloo;2823
France;Nantes;00023-BUAT;Bicloo;2823
France;Nantes;00060-GARE SUD;Bicloo;2823
France;Paris;12032 - PORTE DOREE;Velib;2820
France;Paris;15070 - BLANC;Velib;2820
France;Paris;15107 -  PALAIS DES SPORTS;Velib;2820
France;Paris;12041 - BOIS DE VINCENNES;Velib;2820
France;Paris;21104 - SANZILLON (CLICHY);Velib;2820
France;Paris;16025 - FONTAINE RAYNOUARD;Velib;2820
France;Paris;16028 - MILLET - JEAN DE LA FONTAINE;Velib;2820
France;Toulouse;00139 - BARRIERE DE LOMBEZ;Vélô;2818
Spain;Valence;027_CALLE_SAN_VICENTE_MARTIR_129;Valenbisi;2818
Spain;Valence;091_CALLE_GRABADOR_JORDAN_46_PLAZA_ESCULTOR_PASTOR;Valenbisi;2818
France;Toulouse;282 - RICHARD WAGNER;Vélô;2234
Belgium;Bruxelles-Capitale;006 - GARE CENTRALE/CENTRAAL STATION (FERMÉE);villo;697
France;Besancon;29 - BELFORT;VéloCité;2516
Belgium;Bruxelles-Capitale;138 - HOUFFALIZE;villo;2826
Belgium;Bruxelles-Capitale;163 - CHAZAL/CHAZAL;villo;2826
France;Lyon;10016 - PLACE DE LA PAIX;Vélo'V;2823
France;Lyon;7020 - PARC DE GERLAND;Vélo'V;2823
France;Paris;15105 - SUFFREN FÉDÉRATION;Velib;2820
